Date,Open,High,Low,Close,Adj Close,Volume,Change %
04/04/2022,1924.94,1937.05,1915.55,1932.44,1932.44,0,0.42%
04/01/2022,1937.51,1939.99,1917.56,1924.30,1924.30,0,-0.67%
03/31/2022,1932.80,1949.92,1918.98,1937.23,1937.23,0,0.22%
03/30/2022,1920.07,1938.53,1915.74,1933.06,1933.06,0,0.72%
03/29/2022,1922.95,1929.41,1890.03,1919.19,1919.19,0,-0.21%
03/28/2022,1958.75,1959.36,1916.83,1923.20,1923.20,0,-1.75%
03/25/2022,1957.49,1964.49,1943.55,1957.40,1957.40,0,0.00%
03/24/2022,1944.88,1966.19,1937.18,1957.48,1957.48,0,0.72%
03/23/2022,1922.35,1948.55,1915.32,1943.42,1943.42,0,1.14%
03/22/2022,1935.86,1938.59,1910.89,1921.44,1921.44,0,-0.75%
03/21/2022,1922.24,1940.69,1918.01,1935.95,1935.95,0,0.77%
03/18/2022,1942.90,1945.51,1917.93,1921.09,1921.09,0,-1.11%
03/17/2022,1927.56,1950.10,1923.40,1942.64,1942.64,0,0.76%
03/16/2022,1918.10,1929.87,1895.22,1927.93,1927.93,0,0.53%
03/15/2022,1951.02,1954.95,1906.73,1917.84,1917.84,0,-1.71%
03/14/2022,1985.49,1990.33,1949.87,1951.11,1951.11,0,-1.72%
03/11/2022,1996.15,1999.22,1958.80,1985.29,1985.29,0,-0.53%
03/10/2022,1991.94,2009.57,1970.66,1995.86,1995.86,0,0.22%
03/09/2022,2052.75,2059.25,1976.30,1991.49,1991.49,0,-2.97%
03/08/2022,1998.30,2070.29,1981.00,2052.41,2052.41,0,2.72%
03/07/2022,1977.09,2002.90,1960.76,1998.11,1998.11,0,1.51%
03/04/2022,1935.65,1970.80,1929.78,1968.45,1968.45,0,1.72%
03/03/2022,1926.49,1941.47,1921.73,1935.21,1935.21,0,0.47%
03/02/2022,1943.69,1948.18,1913.82,1926.11,1926.11,0,-0.88%
03/01/2022,1908.19,1950.45,1900.93,1943.22,1943.22,0,1.85%
02/28/2022,1920.86,1929.36,1890.59,1907.90,1907.90,0,1.08%
02/25/2022,1903.55,1921.54,1883.10,1887.56,1887.56,0,-0.82%
02/24/2022,1907.99,1974.48,1879.05,1903.14,1903.14,0,-0.23%
